Dataset,SubmissionDateTime,PublishTime,SettlementDate,Region,GspGroupId,ForecastDemand60,ForecastDemand100
RZDF,2026-01-02T17:00:00Z,2026-01-02T17:00:05Z,2026-01-03,South East,N/A,7101,11834
RZDF,2026-01-02T17:00:00Z,2026-01-02T17:00:05Z,2026-01-03,South West,N/A,4560,7601
RZDF,2026-01-02T17:00:00Z,2026-01-02T17:00:05Z,2026-01-03,Midlands,N/A,4717,7862
RZDF,2026-01-02T17:00:00Z,2026-01-02T17:00:05Z,2026-01-03,North East,N/A,3109,5181
RZDF,2026-01-02T17:00:00Z,2026-01-02T17:00:05Z,2026-01-03,North West,N/A,3019,5032
RZDF,2026-01-02T17:00:00Z,2026-01-02T17:00:05Z,2026-01-03,South Scotland,N/A,1450,2416
RZDF,2026-01-02T17:00:00Z,2026-01-02T17:00:05Z,2026-01-03,North Scotland,N/A,123,205
RZDF,2026-01-02T11:45:00Z,2026-01-02T11:45:04Z,2026-01-03,South East,N/A,7077,11795
RZDF,2026-01-02T11:45:00Z,2026-01-02T11:45:04Z,2026-01-03,South West,N/A,4545,7575
RZDF,2026-01-02T11:45:00Z,2026-01-02T11:45:04Z,2026-01-03,Midlands,N/A,4701,7835
RZDF,2026-01-02T11:45:00Z,2026-01-02T11:45:04Z,2026-01-03,North East,N/A,3098,5163
RZDF,2026-01-02T11:45:00Z,2026-01-02T11:45:04Z,2026-01-03,North West,N/A,3009,5015
RZDF,2026-01-02T11:45:00Z,2026-01-02T11:45:04Z,2026-01-03,South Scotland,N/A,1445,2408
RZDF,2026-01-02T11:45:00Z,2026-01-02T11:45:04Z,2026-01-03,North Scotland,N/A,122,204
RZDF,2026-01-02T09:00:00Z,2026-01-02T09:00:05Z,2026-01-03,South East,N/A,7084,11807
RZDF,2026-01-02T09:00:00Z,2026-01-02T09:00:05Z,2026-01-03,South West,N/A,4550,7583
RZDF,2026-01-02T09:00:00Z,2026-01-02T09:00:05Z,2026-01-03,Midlands,N/A,4706,7844
RZDF,2026-01-02T09:00:00Z,2026-01-02T09:00:05Z,2026-01-03,North East,N/A,3101,5169
RZDF,2026-01-02T09:00:00Z,2026-01-02T09:00:05Z,2026-01-03,North West,N/A,3012,5021
RZDF,2026-01-02T09:00:00Z,2026-01-02T09:00:05Z,2026-01-03,South Scotland,N/A,1446,2410
RZDF,2026-01-02T09:00:00Z,2026-01-02T09:00:05Z,2026-01-03,North Scotland,N/A,123,204
RZDF,2026-01-01T17:00:00Z,2026-01-01T17:00:05Z,2026-01-02,South East,N/A,6894,11490
RZDF,2026-01-01T17:00:00Z,2026-01-01T17:00:05Z,2026-01-02,South West,N/A,4428,7379
RZDF,2026-01-01T17:00:00Z,2026-01-01T17:00:05Z,2026-01-02,Midlands,N/A,4580,7633
RZDF,2026-01-01T17:00:00Z,2026-01-01T17:00:05Z,2026-01-02,North East,N/A,3018,5030
RZDF,2026-01-01T17:00:00Z,2026-01-01T17:00:05Z,2026-01-02,North West,N/A,2932,4886
RZDF,2026-01-01T17:00:00Z,2026-01-01T17:00:05Z,2026-01-02,South Scotland,N/A,1407,2346
RZDF,2026-01-01T17:00:00Z,2026-01-01T17:00:05Z,2026-01-02,North Scotland,N/A,119,199
RZDF,2026-01-01T11:45:00Z,2026-01-01T11:45:05Z,2026-01-02,South East,N/A,6803,11338
RZDF,2026-01-01T11:45:00Z,2026-01-01T11:45:05Z,2026-01-02,South West,N/A,4369,7282
RZDF,2026-01-01T11:45:00Z,2026-01-01T11:45:05Z,2026-01-02,Midlands,N/A,4519,7531
RZDF,2026-01-01T11:45:00Z,2026-01-01T11:45:05Z,2026-01-02,North East,N/A,2978,4963
RZDF,2026-01-01T11:45:00Z,2026-01-01T11:45:05Z,2026-01-02,North West,N/A,2893,4821
RZDF,2026-01-01T11:45:00Z,2026-01-01T11:45:05Z,2026-01-02,South Scotland,N/A,1389,2314
RZDF,2026-01-01T11:45:00Z,2026-01-01T11:45:05Z,2026-01-02,North Scotland,N/A,118,196
RZDF,2026-01-01T09:00:00Z,2026-01-01T09:00:05Z,2026-01-02,South East,N/A,6798,11330
RZDF,2026-01-01T09:00:00Z,2026-01-01T09:00:05Z,2026-01-02,South West,N/A,4366,7277
RZDF,2026-01-01T09:00:00Z,2026-01-01T09:00:05Z,2026-01-02,Midlands,N/A,4516,7526
RZDF,2026-01-01T09:00:00Z,2026-01-01T09:00:05Z,2026-01-02,North East,N/A,2976,4960
