SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,SCOTTISH_TRANSFER,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW,renewables,interconnector,demand_norm,renewables_norm,interconnector_norm,simulated_price,hour
01/01/2026,1,25107,29668,23625,4252,6606,0,22126,0,455,2945,-1143,-610,989,-361,-527,209,677,-352,1021,-513,4252,-610,0.2352193916088718,0.23570693931877307,0.4225658062867365,43.88625135905695,0.0
01/01/2026,2,25881,30361,24341,4332,6606,0,22126,0,455,2909,-1132,-606,1005,-361,-453,243,648,-359,994,-514,4332,-535,0.2617935864863009,0.24054691753887109,0.4273575261947355,44.735270665872896,0.5
01/01/2026,3,25355,30681,23805,4361,6606,0,22126,0,546,3061,-1433,-594,844,-361,-524,343,667,-754,994,-514,4361,-1332,0.24373412071688524,0.2423014096436566,0.3764375159723997,44.95169537957889,1.0
01/01/2026,4,24762,30225,23226,4390,6606,0,22126,0,629,2980,-1469,-589,837,-361,-531,346,650,-770,990,-514,4390,-1411,0.22337430474490147,0.24405590174844213,0.37139023766930745,44.18549038395664,1.5
01/01/2026,5,24111,29092,22653,4351,6606,0,22126,0,834,3089,-1236,-431,949,-361,-531,146,413,-475,990,-513,4351,-1049,0.20102314083636613,0.24169641236614436,0.3945182724252492,42.89966781396534,2.0
01/01/2026,6,23637,28521,22147,4312,6606,0,22126,0,787,3323,-1208,-423,953,-361,-531,139,359,-460,990,-514,4312,-1056,0.18474902149282427,0.23933692298384657,0.3940710452338359,42.32843226552086,2.5
01/01/2026,7,22745,27909,21334,4306,6606,0,22126,0,1002,3649,-1030,-530,726,-361,-531,82,56,-596,990,-514,4306,-1708,0.1541234635720662,0.2389739246173392,0.35241502683363146,41.94742026768984,3.0
01/01/2026,8,22061,27224,20657,4300,6606,0,22126,0,997,3778,-1007,-540,716,-361,-531,80,7,-613,990,-514,4300,-1773,0.13063929135480326,0.23861092625083188,0.3482622029133657,41.10199980839986,3.5
01/01/2026,9,21715,27508,20229,4274,6606,0,22126,0,983,4063,-1174,-617,655,-361,-531,167,-126,-887,970,-514,4274,-2418,0.11875987090571997,0.2370379333293,0.3070534117045745,41.49818860225831,4.0
01/01/2026,10,21429,27288,19981,4248,6606,0,22126,0,988,4103,-1195,-624,652,-361,-531,164,-143,-903,968,-514,4248,-2487,0.10894046556341414,0.23546494040776816,0.30264502938921545,41.24076982251921,4.5
01/01/2026,11,21099,27198,19657,4287,6606,0,22126,0,984,4180,-1032,-687,738,-361,-531,-387,-148,-855,985,-514,4287,-2792,0.09761038247613815,0.23782442979006593,0.28315870176335295,41.10650837007648,5.0
01/01/2026,12,21047,27136,19640,4325,6606,0,22126,0,966,4338,-1011,-683,741,-361,-531,-412,-162,-849,986,-514,4325,-2796,0.09582503605026436,0.2401234194446125,0.28290314336825967,40.971235991307005,5.5
01/01/2026,13,21525,27110,20093,4310,6606,0,22126,0,967,4176,-1047,-397,786,-361,-531,-45,-337,-786,976,-514,4310,-2256,0.11223648973425805,0.23921592352834412,0.3174035267058523,40.964911349402946,6.0
01/01/2026,14,21786,27310,20377,4294,6606,0,22126,0,941,4349,-1050,-378,787,-361,-531,-20,-350,-780,975,-513,4294,-2221,0.12119755544873996,0.23824792788432453,0.3196396626629185,41.307671128161495,6.5
01/01/2026,15,22674,27214,21229,4224,6606,0,22126,0,686,4344,-484,-406,799,-421,-531,641,-241,-658,985,-513,4224,-829,0.1516857790290462,0.23401294694173877,0.4085739841553795,50.8755630698021,7.0
01/01/2026,16,22862,27553,21399,4154,6606,0,22126,0,928,4378,-415,-397,799,-452,-531,676,-221,-633,986,-514,4154,-702,0.15814049303028221,0.229777965999153,0.4166879631995911,51.09852147724487,7.5
01/01/2026,17,24036,27423,22496,4073,6606,2,22126,0,951,4390,-125,-30,665,-452,-531,833,-150,-35,986,-513,4075,648,0.19844812195289432,0.22499848750680623,0.5029389215435727,51.12919182204013,8.0
01/01/2026,18,24747,28009,23154,3991,6606,233,22126,0,947,4242,-85,1,660,-452,-531,838,-133,14,986,-514,4224,784,0.2228593009682071,0.23401294694173877,0.5116279069767442,51.66142549094124,8.5
01/01/2026,19,25425,28493,23709,3975,6606,928,22126,0,952,4078,597,210,599,-452,-531,726,-19,132,989,-514,4903,1737,0.24613747167479227,0.2750922620848206,0.5725146946077179,50.14243711229272,9.0
